	FCBH/DBS	ISO	Language	Year	description	exist_API	exist_BibleIS
2137	ITLIBT	itl	Itelmen	2013	The Gospel of Luke in Itelmen, 2002	False	False
2138	IUMINR	ium	Iu Mien	2007	Bible in Iu Mien - INR	False	False
2139	IUMITH	ium	Iu Mien	2007	Bible in Iu Mien - ITH	False	False
2140	IUMLAO	ium	Iu Mien	2007	Bible in Iu Mien for Laos	False	False
2141	IUMPEN	ium	Iu Mien	1996	Old Testament (Pentateuch) in Mien (Yao)	False	False
2142	IUMTBN	ium	Iu Mien	1991	New Testament in Iu Mien	False	False
2143	IUMINOR	ium	Iu Mien	2007	Bible in Iu Mien - INOR	False	False
2144	IVVWBT	ivv	Ivatan	1984	The New Testament in Ivatan	False	False
2145	ATGWYI	atg	Ivbie North-Okpela-Arhe	2012	Ivbie North-Okpela-Arhe 2012 Edition	True	True
2146	KBMTBL	kbm	Iwal	1984	The New Testament in Iwal	True	True
2147	MZIMZI	mzi	Ixcatlán Mazatec	2015	The New Testament in Mazatec, Ixcatlán	False	False
2148	IXLAEM	ixl	San Juan Cotzal Ixil	2016	Portions of the Bible in Ixil	False	False
2149	IXLWBT	ixl	San Juan Cotzal Ixil		San Juan Cotzal - 2001 Edition	True	True
2150	IXLCWBT	ixl	San Juan Cotzal Ixil	2016	The New Testament in Chajul Ixil	False	False
2151	IXLNWBT	ixl	San Juan Cotzal Ixil	2008	2008 Edition	False	False
2152	IXLSWBT	ixl	San Juan Cotzal Ixil	2001	Ixil 2001 Edition	False	False
2153	IXIWBT	ixi	Nebaj Ixil		Nebaj - 2008 Edition	True	True
2154	NCAWBT	nca	Iyo	2009	The New Testament in Iyo	True	True
2155	CRTSBA	crt	Iyojwa'ja Chorote	1994	The New Testament in Iyojwa'ja Chorote	False	False
2156	IZRTBL	izr	Izere	2006	Izere 2006 Edition	False	False
2157	IZZTBL	izz	Izii		WBT Version	True	True
2158	IJCNEW	ijc	Izon	2011	Izon New Testament	False	False
2159	JACWBT	jac	Eastern Jacalteco	1997	The New Testament in Eastern Jakalteko	True	True
2160	MAJBTT	maj	Jalapa de Díaz Mazatec	1987	Portions of the Bible in Jalapa de Díaz Mazatec	False	False
2161	MAJTBL	maj	Jalapa de Díaz Mazatec	2013	Jalapa de Díaz Mazatec 2013 Edition	True	True
2162	JAMBSW	jam	Jamaican Creole English	2012	Jamaican Creole English 2012 Edition	True	True
2163	MXTTBL	mxt	Jamiltepec Mixtec	1983	Jamiltepec Mixtec 1983 Edition	True	True
2164	MXTTBN	mxt	Jamiltepec Mixtec	2003	New Testament in Mixtec, Jamiltepec	False	False
2165	JPNCJV	jpn	Japanese	1955	Japanese 1955 Colloquial Japanese	True	True
2166	JPNHEP	jpn	Japanese	1873	Hepburn New Testament	False	False
2167	JPNJLB	jpn	Japanese	1977	Japanese Living Bible	False	False
2168	JPNMEJ	jpn	Japanese	1953	Meiji New Testament	False	False
2169	JPNN65	jpn	Japanese	1965	New Japanese Testament (1965)	False	False
2170	JPNNIT	jpn	Japanese	1987	Japanese New Interconfessional Translation	True	True
2171	JPNNJB	jpn	Japanese	2003	New Japanese Bible	False	False
2172	JPNRAG	jpn	Japanese	1910	Raguet New Testament	False	False
2173	JPNTNV	jpn	Japanese	1950	Taihso NIV New Testament	False	False
2174	JPNMNGA	jpn	Japanese	2006	Japanese Manga Bible Stories	False	False
2175	JSLSLV	jsl	Japanese Sign Language	1996	Japanese Sign Language Bible Portions	True	False
2176	JRAJBA	jra	Jarai	2014	Jorai Bible Standard Version	False	False
2177	JRAJRA	jra	Jarai	2016	The Bible in Jarai	False	False
2178	JRAUBS	jra	Jarai	2014	The New Testament in Jarai	False	False
2179	JAVKST	jav	Javanese	1981	Javanese Bible	False	False
2180	JAVNRF	jav	Javanese	2006	Javanese New Revised (formal) Version, 2006	True	True
2181	JITWYI	jit	Jita	2018	WBT Version	False	False
2182	KAJBSN	kaj	Jju	1982	The New Testament in Jju	True	True
2183	DYOBSG	dyo	Jola-Fonyi	2011	Jola-Fonyi 2011 Edition	True	True
2184	CSKATB	csk	Jola-Kasa	2008	Jola-Kasa 2008 Edition	True	True
2185	JUNWIN	jun	Juang	2016	Juang New Testament	True	True
2186	JBUIBS	jbu	Jukun Takum	1994	Jukun Takum 1994 Edition	True	True
2187	MXQTBL	mxq	Juquila Mixe	2004	Juquila Mixe 2004 Edition	True	True
2188	BEXWBT	bex	Jur Modo	1998	Jur Modo 1998 Edition	True	True
2189	QUCAEM	quc	Central Quiché	2018	AEM Version	False	False
2190	QUCBLA	quc	Central Quiché	2011	K'iche' Catholic Biblia Latinoamericana (2011)	True	True
2191	QUCICH	quc	Central Quiché	1995	Quiche Bible	False	False
2192	QUCLSM	quc	Central Quiché	2012	Cunen K'iche' 2012 Edition	False	False
2193	QUCPMC	quc	Central Quiché	1999	K'iche' 1999 Edition	False	False
2194	QUCWBT	quc	Central Quiché	2011	K'iche' New Testament (New Spelling)	False	False
2195	QUCSIBS	quc	Central Quiché	1997	Quiche New Testament (Standard)	False	False
2196	QUCXIBS	quc	Central Quiché	1997	Quiche New Testament (Ximénez)	False	False
2197	QUJPMC	quj	Joyabaj Quiché		1999 Edition	True	True
2198	QUTIBS	qut	West Central Quiché		1997 Edition	True	True
2199	GNAWBT	gna	Kaansa	2001	The New Testament in Kaansa	True	True
2200	KBDIBT	kbd	Kabardian	2009	Portions of the Bible in Kabardian	False	False
2201	KBPABT	kbp	Kabiyé	1995	Kabiyè 1995	True	True
2202	KBPBIV	kbp	Kabiyé	2011	Kabiyè Bibles International Version	True	True
2203	KBPFRA	kbp	Kabiyé	2011	Kabiyè - French New Testament	False	False
2204	KBPRCV	kbp	Kabiyé	2010	Kabiyè Roman Catholic Version	True	True
2205	CWAWYI	cwa	Kabwa		WBT Edition	False	False
2206	KABCEB	kab	Kabyle	2018	ACEB Version	True	True
2207	KABLAT	kab	Kabyle	2001	Kabylian Berber New Testament (Latin)	False	False
2208	KACCLB	kac	Jingpho	2009	Jinghpaw Common Language Bible	False	False
2209	KACUBS	kac	Jingpho	2006	Kachin Hanson Version	True	True
2210	DTPBSM	dtp	Central Dusun	2007	Today's Dusun Version Revised	True	True
2211	DTPAKK	kzj	Coastal Kadazan	2016	The New Testament in Coastal Kadazan	False	False
2212	KBCWBT	kbc	Kadiwéu	1999	The New Testament in Kadiw	False	False
2213	KBRSIM	kbr	Kafa	2010	Kafa 2010 Edition	True	True
2214	CGCTBL	cgc	Kagayanen	2007	Kagayanen 2007 Edition	True	True
2215	KKIBST	kki	Kagulu	2009	Kagulu 2009 Edition	True	True
2216	KKITBS	kki	Kagulu	1894	The Gospel of Matthew in Kaguru	False	False
2217	AGWBSP	agw	Kahua	2011	Kahua Catholic Bible (Solomon Islands)	False	False
2218	KGPWBT	kgp	Kaingáng	1997	The New Testament in Kaingang	False	False
2219	KGKWBT	kgk	Kaiwá	1986	The New Testament in Kaiwa	False	False
2220	KQFWBT	kqf	Kakabai	2009	The New Testament in Kakabai	False	False
2221	KKJWBT	kkj	Kako	1999	Kako 1999 Edition	True	True
2222	KEOBSU	keo	Kakwa	1977	Kakwa 1977 Editions	True	True
2223	MWPMWP	mwp	Kala Lagaw Ya	2014	Portions of the Bible in Kala Lagaw	False	False
2224	KALDDB	kal	Greenlandic Inuktitut	1999	Danish Bible Society Version	False	False
2225	IJNEWT	ijn	Kalabari	2001	Kalabari New Testament	False	False
2226	KQEBLI	kqe	Kalagan	2012	The New Testament in Eastern Kalagan	False	False
2227	KQETBL	kqe	Kalagan		2012 Edition	True	True
2228	AA1WBT	kmh	Kalam		2008 Edition	True	True
2229	KMHMKB	kmh	Kalam	2014	The New Testament in Minimib Kalam	False	False
2230	KMHWBT	kmh	Kalam	1992	The New Testament in Kalam	False	False
2231	AAHWBT	kmh	Kalam	2008	The New Testament in Abu	True	True
2232	KCKBSB	kck	Kalanga	2009	The New Testament in Kalanga	True	True
2233	KCKKBP	kck	Kalanga	1904	Kalanga Bible Portion	False	False
2234	KLNUBS	kln	Kalenjin	1968	The New Testament in Kalenjin	True	True
2235	FLAHBO	fla	Kalispel-Pend D'oreille	1879	Some Narratives from the Holy Bible	False	False
2236	XALIBT	xal	Kalmyk-Oirat	2002	2006 Edition	True	True
2237	BCOPNT	bco	Kaluli	1998	New Testament in Kaluli	False	False
2238	BCOWBT	bco	Kaluli	2011	2011 Edition	False	False
2239	KBQWBT	kbq	Kamano	2014	Kamano New Testament and Shorter Old Testament	False	False
2240	KMSPNG	kms	Kamasau	1998	The New Testament in Kamasau	True	True
2241	KAMKKB	kam	Kamba	1974	Kikamba Bible	False	False
2242	KTBBSE	ktb	Kambaata	2011	Kambaata Bible Society Version	True	True
2243	XLAPNG	xla	Kamula	2005	Kamula 2005 Edition	True	True
2244	HIGTBL	hig	Kamwe	1997	Kamwe 1997 Edition	True	True
2245	SOQWBT	soq	Kanasi	1997	The New Testament in Kansi	True	True
2246	KQWWIN	kqw	Kandas	2012	Portions of the New Testament in Kandas	False	False
2247	GAMWBT	gam	Kandawo	2014	The New Testament in Kandawo	True	True
2248	XNROUB	xnr	Kangri	2017	Kangri Bible	False	False
2249	KDPBSU	kdp	Kaningdon-Nindem	1993	Kaningdon-Nindem 1993 Edition	False	False
2250	WATWAT	wat	Kaninuwa	2016	Portions of the Holy Bible in Kaninuwa	False	False
2251	KMUTBL	kmu	Kanite		2002 Edition	True	True
2252	KMUWBT	kmu	Kanite	1980	The New Testament in Kanite	False	False
2253	KNETBL	kne	Kankanaey	2000	Kankanaey Bible	True	True
2254	KNEWBTC	kne	Kankanaey	2016	Kankanaey Bible	False	False
2255	ERVBSI	kan	Kannada	2018	BSI Version	False	False
2256	KANFBI	kan	Kannada	2016	Kannada Bible	False	False
2257	KANOKV	kan	Kannada	1951	The Old Kannada Version 1831	False	False
2258	KANWTC	kan	Kannada	2006	Kannada Easy-to-Read Version	False	False
2259	KQNFUL	kqn	Kaonde	1975	Kaonde 1976 Edition	False	False
2260	KPGKPT	kpg	Kapingamarangi	1996	The New Testament in Kapingamarangi	False	False
2261	CAKEAS	cak	Central Cakchiquel	2012	Cakchiquel, Eastern 2012 Edition	False	False
2262	CAKK96	cak	Central Cakchiquel	1996	Cakchiquel, Western 1996 Edition	False	False
2263	CAKSBG	cak	Central Cakchiquel	2003	Cakchiquel, Central 2003 Edition	True	True
2264	CAKSDS	cak	Central Cakchiquel	2003	The Bible in Kaqchikel	False	False
2265	CAKSMJ	cak	Central Cakchiquel	2006	Cakchiquel, Santa Maria de Jesus 2006 Edition	False	False
2266	CAKSOU	cak	Central Cakchiquel	2007	Cakchiquel South Central 2007 Edition	False	False
2267	CAKSPZ	cak	Central Cakchiquel	2013	Cakchiquel, Sacatepéquez 2013 Edition	False	False
2268	CAKSWT	cak	Central Cakchiquel	2012	Cakchiquel, Southwestern Yepocapa 2012 Edition	False	False
2269	CAKWBT	cak	Central Cakchiquel	2003	Cakchiquel, Yepocapa 2003 Edition	False	False
2270	CAKWSK	cak	Central Cakchiquel	2010	New Testament in Kaqchikel, Western Solola	False	False
2271	CAKXEN	cak	Central Cakchiquel	2015	The New Testament in Kaqchikel Santo Domingo Xenacoj	False	False
2272	CKDWBT	cak	Central Cakchiquel	2007	South Central Cakchiquel New Testament	False	False
2273	CKEWBT	cak	Central Cakchiquel	1986	The New Testament in Eastern Cakchiquel	False	False
2274	CKIWBT	cak	Central Cakchiquel	2013	Santa María Cakchiquel New Testament	True	True
2275	CKKWBT	ckk	Acatenango Southwestern Cakchiquel		1990 Edition	True	True
2276	LEUPNG	leu	Kara	1997	Kara 1997 Edition	False	False
2277	LEUTBL	leu	Kara		1997 Edition	True	True
2278	KAAIBT	kaa	Karakalpak	2004	Kara-Kalpak 2004 Edition	True	True
2279	KRCLIO	krc	Karachay-Balkar	2000	Karachay-Balkar 2000 Edition	True	True
2280	KPJWBT	kpj	Karajá	2011	The New Testament in Karaja	False	False
2281	KDJBSU	kdj	Karamojong	1996	Karamojong 1996 Edition	True	True
2282	MJWBSI	mjw	Karbi	2010	The Karbi Holy Bible	False	False
2283	KRLNEW	krl	Karelian	2003	Karelian New Testament	False	False
2284	YUJWBT	yuj	Karkar-Yuri	1994	The New Testament in Karkar-Yuri	True	True
2285	XSMBFV	xsm	Kasem	1997	Kasem 1997 Edition (Burkina Faso)	True	True
2286	XSMWBT	xsm	Kasem	2003	Kasem 2003 Edition (Ghana)	True	True
2287	KASBSI	kas	Kashmiri	2018	BSI Version	False	False
2288	CSBFGK	csb	Kashubian	2010	The Four Gospels in Kashubian	False	False
2289	PSSBIV	pss	Kaulong	2015	The New Testament in Kaulong	True	True
2290	KYZWBT	kyz	Kayabí	1999	Kayabí­ 1999 Edition	True	True
2291	TXUTBL	txu	Kayapó	1996	Kayapὀ 1996 Edition	True	True
2292	KYVFBI	kyv	Kayort	2017	Kayort Bible	False	False
2293	KAZIBT	kaz	Kazakh	2010	Full Bible in Kazakh	False	False
2294	KAZKAZ	kaz	Kazakh	2010	Kazakh Bible 2010	True	True
2295	KHZPNG	khz	Keapara	2005	Keapara 2005 Edition	True	True
2296	BMHWBT	bmh	Kein	2005	Kein 2005 Edition	True	True
2297	KEKIBS	kek	Kekchí	2008	Kekchi 2008 Edition	True	True
2298	KEKSBG	kek	Kekchí	2005	Kekchi 2005 Catholic Edition	True	True
2299	KZITDS	kzi	Kelabit	1940	The Davidson Kelabit Selections of Luke	False	False
2300	KHYKHY	khy	Kele	2015	Kele New Testament 1958	False	False
2301	IFYWBT	ify	Keley-I Kallahan	2008	Keley-I Kallahan 2008 Edition	True	True
2302	KBOWBT	kbo	Keliko		Wycliffe Bible Translators Version	True	True
2303	KYQWBT	kyq	Kenga	2012	Kenga 2012 Edition	False	False
2304	KYQWYI	kyq	Kenga		2012 Edition	True	True
2305	XKISLS	xki	Kenyan Sign Language	2013	Kenyan Sign Language Bible Portions	False	False
2306	KENWBT	ken	Kenyang	2010	Kenyang 2010 Edition	True	True
2307	KERABT	ker	Kera	2004	Kera 2004 Edition	True	True
2308	KYGTBL	kyg	Keyagana	2001	Keyagana 2013 Edition	True	True
2309	KJHARV	kjh	Khakas	2016	Portions of the Bible in Khakas	False	False
2310	KJHIBT	kjh	Khakas	2009	New Testament in Khakas	True	True
2311	OGOBSN	ogo	Khana	1968	The New Testament in Khana	True	True
2312	KHNFBI	khn	Khandesi	2017	Khandesi Bible	False	False
2313	KCAIBT	kca	Khanty	2012	Portions of the Bible in Khanty	False	False
2314	KHABSI	kha	Khasi	2018	2011 Edition	False	False
2315	KIXNTM	kix	Khiamniungan Naga	2005	The Bible in Khiamniungan Naga	False	False
2316	KJGWBT	kjg	Khmu		Portions of the Bible in Khmu	False	False
2317	NAQNAQ	naq	Nama	2012	Khoehoegowab Bible	False	False
2318	CNKBSM	cnk	Khumi Chin	2005	Khumi Chin 2005 Edition	True	True
2319	KIKBSK	kik	Gikuyu	1965	The New Testament in Gikuyu	True	True
2320	KIKKIK	kik	Gikuyu	1951	Gikuyu 1965 Edition	False	False
2321	KIJPNG	kij	Kilivila	2011	Kilivila 2011 Edition	True	True
2322	KIAKFB	kia	Kim	2013	2013 Edition	False	False
2323	KIAWBT	kia	Kim	2017	Garap-Kim New Testament	True	True
2324	KMBK80	kmb	Mbundu	1980	Kimbundu Bible (1980)	False	False
2325	KQPWBT	kqp	Kimré	2007	Kimré 2007 Edition	True	True
2326	KRJWBT	krj	Kinaray-A	2009	Kinaray-A 2009 Edition	True	True
2327	ZGAKNT	zga	Kinga	1961	The New Testament in Kinga	False	False
2328	KFKFBI	kfk	Kinnauri	2017	Kinnauri Bible	False	False
2329	KINBIR	kin	Rwanda	2004	2004 Kinyarwanda Bible	False	False
2330	KINKNT	kin	Rwanda	2012	2012 Kinyarwanda Bible	False	False
2331	KINKRV	kin	Rwanda	2001	Kinyarwanda Revised Bible	False	False
2332	KINSIX	kin	Rwanda	1996	Ikinyarwanda Cy'iki Gihe (Common) Interconfessional	False	False
2333	KINTBN	kin	Rwanda	2001	New Testament in Kinyarwanda	False	False
2334	RUABIB	kin	Rwanda	1996	Kinyarwanda New Testament	False	False
2335	GEBPBT	geb	Kire	2001	Fhe Bakimen Kaman Kamej	False	False
2336	KIRBSK	kir	Kirghiz	2005	Kyrgyz New Testament (2005)	True	True
2337	KIRIBT	kir	Kirghiz	2005	Kyrgyz New Testament and Old Testament Portions	False	False
2338	KIRWBT	kir	Kirghiz	1991	Kyrgyz New Testament	False	False
2339	OKRKNT	okr	Kirike	2001	Kirike New Testament	False	False
2340	KJEKNT	kje	Kisar	2008	Kisar New Testament	False	False
2341	KJEWBT	kje	Kisar		2007 Edition	True	True
2342	KIZKBS	kiz	Kisi	2011	Kisi Bible Stories	False	False
2343	MKWIBS	mkw	Kituba	2018	Audio Non-Drama New Testament Books of Luke and Acts	False	False
2344	MKWTBN	mkw	Kituba	2005	New Testament in Kituba	False	False
2345	KTUKTU	ktu	Kituba	1990	Kikwango New Testament 1990	False	False
2346	KLUBSL	klu	Klao	1998	The New Testament in Klao	True	True
2347	KLUKBS	klu	Klao	2011	Klao Bible Stories	False	False
2348	KPWPNG	kpw	Kobon	2005	The New Testament in Kobon	True	True
2349	KSZWIN	ksz	Koraku	2018	WIN Edition	False	False
2350	KPMDVS	kpm	Koho	1950	The New Testament in Koho	True	True
2351	TRPBSI	trp	Kok Borok	2018	Old Version	False	False
2352	SKNNVS	skn	Kolibugan Subanon	2018	2016 Edition	False	False
2353	BKMBSC	bkm	Kom	2004	The New Testament in Kom	True	True
2354	KMMREM	kmm	Kom	2016	Kom Rem Bible Revision	False	False
2355	KMYWBT	kmy	Koma	2004	Koma 2004 Edition	False	False
2356	KPFKPF	kpf	Komba	2014	Komba New Testament	False	False
2357	KPFPNG	kpf	Komba	1980	The New Testament in Komba	False	False
2358	KPFWBT	kpf	Komba		1980 Edition	True	True
2359	XBISSP	xbi	Kombio	2000	Scripture Portions in Kombio Wampukuamp	False	False
2360	XBIYAN	xbi	Kombio	2002	Kombio Yanimoi Bible Portions (2002)	False	False
2361	XBIKYV	xbi	Kombio	2002	2002 Edition (Portions)	False	False
2362	KPVIBT	kpv	Komi-Zyrian	1979	Komi-Zyrian IBT Version	True	True
2363	KFCKSS	kfc	Konda-Dora	2006	The New Testament in Konda-Dora	True	True
2364	KNNKNN	knn	Konkani	1997	Baibol	False	False
2365	KNNKOV	knn	Konkani	2018	Old Version	False	False
2366	XONWBT	xon	Konkomba	1998	Konkomba 1998 Edition	False	False
2367	XONXON	xon	Konkomba	2014	Konkomba New Testament	False	False
2368	XONNVR	xon	Konkomba	1984	Konkomba 1984 Edition	False	False
2369	KMAWBT	kma	Konni		2004 Edition	True	True
2370	KNOBSL	kno	Kono	2006	Kono (Sierra Leone) 2006 Edition	True	True
2371	KXCBSE	kxc	Komso	2001	Konso 2001 Edition	True	True
2372	NBEBSI	nbe	Konyak Naga	2011	The Konyak Bible	False	False
2373	KNGK03	kng	Koongo	2003	Kikongo New Testament (2003)	False	False
2374	KNGK05	kng	Koongo	1905	Kikongo Bible (1905)	False	False
2375	OZMTBL	ozm	Koonzime	1998	Koonzime 1998 Edition	True	True
2376	KQYBSE	kqy	Koorete	2011	Koorete Bible Society Version	True	True
2377	KPRTBL	kpr	Korafe	2003	Korafe-Yegha 2003 Edition	True	True
2378	KORAEB	kor	Korean	2009	Agape Easy Bible	False	False
2379	KORCNT	kor	Korean	1967	Korean New Translation Bible	False	False
2380	KORERV	kor	Korean	2003	Korean: Easy-to-Read Version	False	False
2381	KORHAN	kor	Korean	2000	Korean Authorized King James Version	False	False
2382	KORKLB	kor	Korean	1985	Korean Living Bible	False	False
2383	KORKRV	kor	Korean	1961	The Revised Korean Bible (New Script)	True	True
2384	KORRJR	kor	Korean	1887	The Korean New Testament	False	False
2385	KORSYS	kor	Korean	1911	The Korean Bible	False	False
2386	KORNRKV	kor	Korean	1998	New Revised Korean Version	False	False
2387	KORRNKV	kor	Korean	2005	(North) Revised New Korean Standard Version	False	False
2388	COEWBT	coe	Koreguaje	2007	Koreguaje 2007 Edition	True	True
2389	BPRWYI	bpr	Koronadal Blaan	1995	Koronadal Blaan 1995 Edition	True	True
2390	KFPWIN	kfp	Korwa	2018	WIN Version	False	False
2391	KPYLUK	kpy	Koryak	2005	The Gospel of Luke in Koryak	False	False
2392	KKLWBT	kkl	Kosarek Yale	2015	Mek Kosarek Bible	False	False
2393	KZEWBT	kze	Kosena	1980	Kosena 1980 Edition	True	True
2394	KOSABS	kos	Kosraean	1871	Matthew and Luke in Kusraean	False	False
2395	EKOWBT	eko	Koti	2008	Portions of the Holy Bible in Kote	False	False
2396	KYFWBT	kyf	Kouya	2002	Kouya 2002 Edition	True	True
2397	KFFIEM	kff	Koya	2006	Koya 2008 Edition	True	True
2398	KHQBIV	khq	Koyra Chiini Songhay	2018	2017 Edition	True	True
2399	SESNEW	ses	Koyraboro Senni Songhay	2014	Velberter Mission & Wycliffe Bible	False	False
2400	KOYMJG	koy	Koyukon	1974	Central Koyukon Scripture Portions	False	False
2401	KOYMUK	koy	Koyukon	1968	Selections from Mark in Upper Koyukon	False	False
2402	KOYPON	koy	Koyukon	1968	The Bible in Koyukon	False	False
2403	KRIBSL	kri	Krio	1992	Good News For All Men (1992)	False	False
2404	KRILBT	kri	Krio	2013	Good News For All Men	False	False
2405	ROPWBT	rop	Kriol	2012	The Bible in Kriol	False	False
2406	ROPBSAU	rop	Kriol	2007	Kriol Bible (Aboriginal)	False	False
2407	KSDPNG	ksd	Kuanua	1983	Kuanua 1983 Edition	True	True
2408	KUAO12	kua	Kwanyama	2012	Oshikwanyama Bible (2012)	False	False
2409	KUAO74	kua	Kwanyama	1974	Oshikwanyama Bible (1974)	False	False
2410	KGFGBT	kgf	Kube	2007	Kube 2007 Edition	True	True
2411	KXUBSI	kxu	Kui	2018	Revised Version	False	False
2412	KEZLCN	kez	Kukele	1979	Kukele 1979 Edition	True	True
2413	GVNGVN	gvn	Kuku-Yalanji	1984	Kuku Yalanji Bible	False	False
2414	KFXOKB	kfx	Kullu Pahari	2017	Kulvi Bible	False	False
2415	KFXOOS	kfx	Kullu Pahari	2017	The Open Outer Seraji Bible	False	False
2416	PFXOOS	kfx	Kullu Pahari	2017	Outer Seraji Bible	False	False
2417	KLENLI	kle	Kulung	2016	2016 Edition	True	True
2418	KDIBSU	kdi	Kumam	2013	2006 Edition	True	True
2419	KUEBSU	kue	Kuman	2006	Kuman 2006 Edition	False	False
2420	KUEPNG	kue	Kuman	2008	Kuman 2008 Edition	True	True
2421	KUMIBT	kum	Kumyk	2007	Kumyk 2007 Edition	True	True
2422	KDNBSZ	kdn	Kunda	2007	ChiKunda New Testament	True	True
2423	KNWKEP	knw	Kung-Ekoka	1976	Kung-Ekoka Bible Portion	False	False
2424	KVGKVG	kvg	Kuni-Boazi		Kuni/Boazi [KVG] (Kuni Dialect)	False	False
2425	KUPTBL	kup	Kunimaipa	2002	The New Testament in Kunimaipa	True	True
2426	XUOWBT	xuo	Kuo	2013	Kuo 2013 Edition	True	True
2427	KTOPNG	kto	Kuot	2001	Kuot 2001 Edition	False	False
2428	KTOWBT	kto	Kuot		2001 Edition	True	True
2429	MKNUBB	mkn	Kupang Malay	2007	The New Testament in Kupang Malay	False	False
2430	MKNWBTA	mkn	Kupang Malay	2015	God's Word in Kupang Malay	False	False
2431	KPZBSU	kpz	Kupsabiny	1995	Kupsabiny 1995 Edition	True	True
2432	KNKBSL	knk	Kuranko	2005	Kuranko 2005 Edition	True	True
2433	KURIBC	kur	Kurdish	2017	New Testament in Kurdish (Cyrillic)	False	False
2434	KURRSKV	kur	Kurdish	2011	Revised Standard Kurdish Version (Sorani Dialect)	False	False
2435	KUJIFB	kuj	Kuria	1996	Igikuria First Bible	False	False
2436	KTMMRK	ktm	Kurti	2011	The Gospel of Mark	False	False
2437	KTMWBT	ktm	Kurti	2011	Kurti Scripture Portions	False	False
2438	KRUDEV	kru	Kurux	1950	Friends Missionary Prayer Brand Version	False	False
2439	KRUFMP	kru	Kurux	2012	Friends Missionary Prayer Band Version	True	True
2440	KUSTBL	kus	Kusaal	1996	Kusaal 1996 Edition	True	True
2441	KUBTBL	kub	Kutep	1995	Kutep 1995 Edition	True	True
2442	KDCPBT	kdc	Kutu	2014	The New Testament in Kutu	True	True
2443	BLHLBT	blh	Kuwaa	1988	Kuwaa 1988 Edition	True	True
2444	CWTATB	cwt	Kuwaataay	2000	Kuwaataay 2000 Edition	True	True
2445	KWDWBT	kwd	Kwaio	2013	The New Testament in Kwaio	False	False
2446	TNKWBT	tnk	Kwamera	2013	Kwamera 2013 Edition	True	True
2447	KWJWBT	kwj	Kwanga	1992	Kwanga New Testament	True	True
2448	KWNK74	kwn	Kwangali	1974	Rukwangali New Testament (1974)	False	False
2449	KWNK87	kwn	Kwangali	1987	Rukwangali Bible (1987)	False	False
2450	KNPABC	knp	Kwanja	2006	Kwanja 2006 Edition	True	True
2451	KWFWBT	kwf	Kwara'ae	2003	Kwara'ae 2003 Edition	True	True
2452	CWEPBT	cwe	Kwere	2014	The New Testament in Kwere	True	True
2453	KMOWBT	kmo	Kwoma	1974	The New Testament in Washkuk	True	True
2454	KYCPNG	kyc	Kyaka	1973	Kyaka Bible Society Version	True	True
2455	TYESIM	tye	Kyenga	2017	Kyanga Bible	False	False
2456	KQLPBT	kql	Kyenele	1992	Portions of the Bible in Kyenele	False	False
2457	KMGPNT	kmg	Kâte	1978	Portions of the New Testament in Kâte	False	False
2458	KEBDIK	keb	Kélé	1879	The Gospel of John in Dikele	False	False
2459	LDIL07	ldi	Laari	2007	Laari New Testament (2007)	False	False
2460	LDINEW	ldi	Laari	2016	Laari New Testament (2016)	False	False
2461	LBBWBT	lbb	Label	2012	The Gospel According to Mark in Label	False	False
2462	DTBWBT	dtb	Labuk-Kinabatangan Kadazan		1996 Edition	True	True
2463	LACTBL	lac	Lacandon	1978	The New Testament in Lacandon	True	True
2464	ZPLTBL	zpl	Lachixío Zapotec	2010	The New Testament in Lachixi­o Zapotec	True	True
2465	LBJLNT	lbj	Ladakhi	1948	Ladakhi New Testament	False	False
2466	LHUTBS	lhu	Lahu	1989	Lahu 1989 Edition	True	True
2467	LHIWTHNT	lhi	Lahu Shi	2015	Lahu Shi New Testament	False	False
2468	LBEIBT	lbe	Lak	2012	Portions of the Bible in Lak	False	False
2469	LKTJHN	lkt	Lakota	1997	The Gospel of John	False	False
2470	LKTLKT	lkt	Lakota	2007	Lakota New Testament	False	False
2471	CNLBLI	cnl	Lalana Chinantec	1973	The Bible in Chinantec, Lalana	False	False
2472	CNLTBI	cnl	Lalana Chinantec	2012	Chinanteco de Lalana New Testament	False	False
2473	CNLWBT	cnl	Lalana Chinantec	1994	Chinanteco de San Juan Lalana 1994 Edition	False	False
2474	LASZBS	las	Lama	1959	Lamba Bible (Zambia Version)	False	False
2475	LAMABT	lam	Lamba	1993	Lamba 1993 Edition	False	False
2476	LAMUBS	lam	Lamba	1959	The New Testament in Lamba for Zambia	False	False
2477	LMNBSI	lmn	Lambadi	2018	BSI Version	False	False
2478	LMNLBS	lmn	Lambadi	2015	Lambadi Bible Stories	False	False
2479	QUFLLB	quf	Lambayeque Quechua	2008	The New Testament in Quechua, Lambayeque	True	True
2480	LAIBSM	lai	Lambya	2015	2015 Edition	True	True
2481	LAILNT	lai	Lambya	2016	Lambya New Testament	False	False
2482	LMKBIV	lmk	Lamkang		2001 Edition	True	True
2483	LMKBSI	lmk	Lamkang	2002	The New Testament in Lamkang	False	False
2484	LNSCAB	lns	Lamnso'	2014	2014 Edition	True	True
2485	LJPLAI	ljp	Lampung	2002	Lampung Api 2002 Today's Lampung Version	True	True
2486	LAJBSU	laj	Lango	1978	Lango (Uganda) 1978 Edition	True	True
