ISO	NAM_LABEL	LMP_LON	LMP_LAT	GENEALOGY
agv	Remontado Agta	121.45323	14.62541	Austronesian, Malayo-Polynesian, Philippine, Central Luzon, Sinauna
agw	Kahua	162.19059	-10.69634	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Malaita-San Cristobal, San Cristobal
agx	Aghul	47.58429	41.92418	North Caucasian, East Caucasian, Lezgic, Nuclear Lezgic, East Lezgic
agy	Southern Alta	121.05413	15.18409	Austronesian, Malayo-Polynesian, Philippine, Northern Luzon, Meso-Cordilleran, Alta
agz	Mt. Iriga Agta	123.4625	13.45657	Austronesian, Malayo-Polynesian, Philippine, Greater Central Philippine, Central Philippine, Bikol, Inland
aha	Ahanta	-1.94657	4.85147	Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Potou-Tano, Tano, Central, Bia, Southern
ahb	Axamb	167.70701	-16.48376	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, Malekula Coastal
ahe	Ahe	113.743	0.068	
ahg	Qimant	37.05424	12.81193	Afro-Asiatic, Cushitic, Central, Western
ahh	Aghu	140.04303	-6.34674	Trans-New Guinea, Ok-Awyu, Awyu-Dumut, Awyu
ahi	Tiagbamrin Aizi	-4.62352	5.28022	Niger-Congo, Atlantic-Congo, Volta-Congo, Kru, Aizi
ahk	Akha	100.10188	20.9276	Sino-Tibetan, Tibeto-Burman, Ngwi-Burmese, Ngwi, Southern
ahl	Igo	0.67846	7.25499	Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Left Bank, Kposo-Ahlo-Bowili
ahm	Mobumrin Aizi	-4.47303	5.26847	Niger-Congo, Atlantic-Congo, Volta-Congo, Kru, Aizi
ahn	Àhàn	6.00896	7.44139	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Defoid, Ayere-Ahan
aho	Ahom	88.46401	27.27784	Tai-Kadai, Kam-Tai, Tai, Southwestern
